         1850643 function calls (1742367 primitive calls) in 1.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.042    0.014 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:1083(_get_signature)
      153    0.000    0.000    0.041    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:1013(__str__)
      153    0.000    0.000    0.041    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:1006(descr)
   341029    0.031    0.000    0.040    0.000 {built-in method builtins.isinstance}
21955/11345    0.011    0.000    0.038    0.000 {method 'format' of 'str' objects}
27404/26810    0.007    0.000    0.038    0.000 {built-in method builtins.next}
   129/57    0.002    0.000    0.037    0.001 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir_utils.py:639(remove_dead_block)
     1369    0.002    0.000    0.037    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\copy.py:259(_reconstruct)
      8/5    0.002    0.000    0.037    0.007 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir_utils.py:1067(apply_copy_propagate)
       20    0.000    0.000    0.035    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:999(descr_body)
      281    0.000    0.000    0.035    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:1172(descr)
12214/4998    0.005    0.000    0.035    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
     2642    0.001    0.000    0.035    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\copy.py:264(<genexpr>)
      281    0.001    0.000    0.034    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:1174(<listcomp>)
     1641    0.003    0.000    0.033    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\copy.py:201(_deepcopy_list)
       14    0.000    0.000    0.033    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:740(add_llvm_module)
        2    0.000    0.000    0.033    0.016 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:279(create_cpython_wrapper)
        2    0.000    0.000    0.033    0.016 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\cpu.py:181(create_cpython_wrapper)
        1    0.000    0.000    0.031    0.031 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typed_passes.py:297(run_pass)
        1    0.000    0.000    0.031    0.031 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor.py:2906(run)
       14    0.001    0.000    0.031    0.002 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\codegen.py:651(_optimize_functions)
     3486    0.005    0.000    0.031    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\ir\values.py:544(_to_string)
       86    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        6    0.000    0.000    0.030    0.005 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor.py:4934(get_copies_parfor)
       10    0.000    0.000    0.030    0.003 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\utils.py:687(__init__)
      290    0.001    0.000    0.030    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\context.py:723(load_additional_registries)
        4    0.000    0.000    0.029    0.007 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:292(create_cfunc_wrapper)
        4    0.000    0.000    0.029    0.007 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\cpu.py:193(create_cfunc_wrapper)
        3    0.001    0.000    0.029    0.010 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor.py:4657(remove_dead_parfor)
     8966    0.006    0.000    0.027    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\event.py:209(broadcast)
     3943    0.003    0.000    0.026    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\ffi.py:83(__exit__)
      285    0.000    0.000    0.025    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\runtime\nrt.py:19(initialize)
     1011    0.002    0.000    0.025    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\extending.py:129(decorate)
     4632    0.002    0.000    0.025    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\ir.py:611(list_vars)
        1    0.000    0.000    0.025    0.025 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\runtime\nrtdynmod.py:205(compile_nrt_functions)
    23469    0.006    0.000    0.024    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typing\templates.py:1322(new_registrations)
     4483    0.004    0.000    0.024    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\event.py:404(end_event)
     2280    0.004    0.000    0.024    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\base.py:352(install_registry)
